Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Gene Identifier],Comment [Gene Symbol],Comment [Protein Name],Comment [Protein Name Abbreviation],Protein Sequence (aa),UniProt ID,Addgene ID,Experimental Condition [Subcellular Localization],Channels
20130916_Landmark_PSS1/Meas_01,H19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,H20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,H21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,H22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,H23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,I23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,J23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K19,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K20,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K21,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K22,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,K23,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
20130916_Landmark_PSS1/Meas_01,L18,Mus musculus,NCBITaxon,NCBITaxon_10090,NMuMG,CLO,CLO_0008186,9791,PTDSS1,Phosphatidylserine synthase-1,PTDSS1,1-473,Q99LH2,134667,"mitochondria-associated ER-membrane, endoplasmic reticulum","EGFP (protein of interest), DRAQ5 (DNA)"
